Date,Open,High,Low,Close
4/26/2016,7828.1499,7974.5,7822.5498,7962.6499
4/27/2016,7942,7991,7940.5498,7979.8999
4/28/2016,7967.3999,7992,7834.4502,7847.25
4/29/2016,7844.25,7889.0498,7788.7002,7849.7998
5/2/2016,7822.7002,7829.7998,7777.2998,7805.8999
5/3/2016,7824.7998,7890.25,7735.1499,7747
5/4/2016,7724.1499,7749,7697.25,7706.5498
5/5/2016,7731,7777.5498,7706.8501,7735.5
5/6/2016,7717.6499,7738.8999,7678.3501,7733.4502
5/9/2016,7755.25,7873.6499,7753.5498,7866.0498
5/10/2016,7873.5498,7896.8999,7837.7002,7887.7998
5/11/2016,7804.6499,7893.1001,7780.8999,7848.8501
5/12/2016,7871.4502,7916.0498,7849.6499,7900.3999
5/13/2016,7881,7881,7784.2002,7814.8999
5/16/2016,7831.2002,7873.8999,7772.1499,7860.75
5/17/2016,7896.8501,7940.1001,7879.7002,7890.75
5/18/2016,7846.75,7882.0498,7810.75,7870.1499
5/19/2016,7875.5,7876.2002,7766.7998,7783.3999
5/20/2016,7792.2002,7812.3999,7735.75,7749.7002
5/23/2016,7813.9502,7820.6001,7722.2002,7731.0498
5/24/2016,7738.0498,7761.5498,7715.7998,7748.8501
5/25/2016,7811.7998,7941.2002,7809.2998,7934.8999
5/26/2016,7974.4502,8083,7948.5,8069.6499
5/27/2016,8081.9502,8164.2002,8077.0498,8156.6499
5/30/2016,8166.5,8200,8150.7998,8178.5
5/31/2016,8209.8496,8213.5996,8134.2998,8160.1001
6/1/2016,8179.2002,8215.3496,8171.0498,8179.9502
6/2/2016,8156.8999,8229.5,8154.75,8218.9502
6/3/2016,8246.2002,8262,8209.8496,8220.7998
6/6/2016,8228.75,8234.7002,8186.0498,8201.0498
6/7/2016,8235.5498,8294.9502,8216.4004,8266.4502
6/8/2016,8285.5,8288.9004,8252.0498,8273.0498
6/9/2016,8273.3496,8273.3496,8184.6001,8203.5996
6/10/2016,8180.25,8265.5996,8162.8501,8170.0498
6/13/2016,8102.25,8125.25,8063.8999,8110.6001
6/14/2016,8134.3999,8134.9502,8069.5,8108.8501
6/15/2016,8139.3999,8213.2002,8123.1499,8206.5996
6/16/2016,8180.6499,8180.6499,8074.4502,8140.75
6/17/2016,8176.6499,8195.25,8135.7998,8170.2002
6/20/2016,8115.75,8244.1504,8107.3501,8238.5
6/21/2016,8255.4004,8257.25,8202.1504,8219.9004
6/22/2016,8213.6504,8238.3496,8153.25,8203.7002
6/23/2016,8201.1504,8285.5996,8188.2998,8270.4502
6/24/2016,8029.1001,8100.7002,7927.0498,8088.6001
6/27/2016,8039.3501,8120.6499,8039.3501,8094.7002
6/28/2016,8096.0498,8146.3501,8086.8501,8127.8501
6/29/2016,8173.1001,8212.4004,8157.6499,8204
6/30/2016,8260.25,8308.1504,8242.0996,8287.75
7/1/2016,8313.0498,8356.75,8308.6504,8328.3496
7/4/2016,8376.75,8398.4502,8364.7002,8370.7002
7/5/2016,8379.2998,8381.4502,8319.9502,8335.9502
7/7/2016,8342,8361.9502,8317.7002,8337.9004
7/8/2016,8350,8353.2998,8287.5498,8323.2002
7/11/2016,8413.3496,8475.25,8407.0498,8467.9004
7/12/2016,8502.5996,8526.5996,8479.2002,8521.0498
7/13/2016,8540.4502,8550.25,8493.5498,8519.5
7/14/2016,8515.75,8571.4004,8500.7002,8565
7/15/2016,8565.4502,8594.7998,8510.0498,8541.4004
7/18/2016,8564.0498,8587.0996,8494.3496,8508.7002
7/19/2016,8514.2998,8540.0498,8476.7002,8528.5498
7/20/2016,8515.4502,8569.9004,8512.5498,8565.8496
7/21/2016,8582.7002,8585.25,8503.4502,8510.0996
7/22/2016,8519.6504,8548.9502,8489.7998,8541.2002
7/25/2016,8519.9502,8641.1504,8517.2002,8635.6504
7/26/2016,8633.75,8644.9004,8577.1504,8590.6504
7/27/2016,8599.4004,8665,8572.0498,8615.7998
7/28/2016,8636.9502,8674.7002,8625.25,8666.2998
7/29/2016,8668.2998,8670.3496,8631.1504,8638.5
8/1/2016,8654.2998,8711.2998,8590.5,8636.5498
8/2/2016,8647.4502,8687.2002,8611.4004,8622.9004
8/3/2016,8635.2002,8635.4502,8529.5996,8544.8496
8/4/2016,8599.9502,8601.4004,8518.1504,8551.0996
8/5/2016,8600.2002,8689.4004,8590.1504,8683.1504
8/8/2016,8712.8496,8723.5,8697.5996,8711.3496
8/9/2016,8727.7998,8728.3496,8638.2002,8678.25
8/10/2016,8686.7002,8690.0996,8564.5996,8575.2998
8/11/2016,8572.7998,8601.1504,8540.0498,8592.1504
8/12/2016,8605.4502,8684.2998,8604.4502,8672.1504
8/16/2016,8670.25,8682.3496,8600.4502,8642.5498
8/17/2016,8639.7998,8667.0996,8603.5996,8624.0498
8/18/2016,8648.8496,8690.7002,8645.0498,8673.25
8/19/2016,8694.2998,8696.5996,8647.0996,8666.9004
8/22/2016,8667,8684.8496,8614,8629.1504
8/23/2016,8628.3496,8642.1504,8580,8632.5996
8/24/2016,8648.5,8661.0498,8620.9004,8650.2998
8/25/2016,8668.8496,8683.0498,8583.6504,8592.2002
8/26/2016,8614.3496,8622.9502,8547.5498,8572.5498
8/29/2016,8583.75,8622,8543.75,8607.4502
8/30/2016,8646.75,8750.5996,8642.25,8744.3496
8/31/2016,8754.0498,8819.2002,8754.0498,8786.2002
9/1/2016,8793.5996,8813.25,8759.9502,8774.6504
9/2/2016,8796.3496,8824.0996,8768.2002,8809.6504
9/6/2016,8852.7002,8950.8496,8848.4502,8943
9/7/2016,8968.7002,8968.7002,8913.3496,8917.9502
9/8/2016,8915.5,8960.3496,8896,8952.5
9/9/2016,8934.2998,8939.1504,8858.7002,8866.7002
9/12/2016,8732.9502,8746.9502,8699.4004,8715.5996
9/14/2016,8710.6504,8739.8496,8688.9004,8726.5996
9/15/2016,8743.8496,8751.9502,8704.3496,8742.5498
9/16/2016,8780.8496,8847.6504,8750.5,8779.8496
9/19/2016,8788.4502,8824.2998,8774.2002,8808.4004
9/20/2016,8816.0996,8816.4502,8759.2998,8775.9004
9/21/2016,8790.2998,8826.8496,8757.2998,8777.1504
